UPM;NVIVI;NHOGA;AÑO;DPTO;AREA;HOMBRES;MUJERES;TOTAL;V01;V02A;V02B;V03;V04;V05;V06;V07;V07A;V08;V09;V10;V11A;V11B;V12;V13;V14A;V14B;V15;V16;V17;V18;V19;V20;V21;V21G;V23A1;V23A2;V23B;V23C1;V23C2;V2401;V2402;V2403;V2404;V2404A;V2404B;V2405;V2406;V2407;V2408;V2409;V2410;V2411;V2412;V2413;V2414;THOGAV;FACTOR;POBREZAI;POBNOPOI
74;1;1;2025;0;1;1;0;1;1;3;2;4;5;1;6; ;2;1;2;1;1;1;1;1;1;2;2;1;1; ;2500000; ;1;2500000;1;6;1;1;1;1;1;1;1;6;6;1;6;6;1;6;1;1;1;1;6;1;85;3;0
74;2;1;2025;0;1;1;1;2;1;5;3;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;3000000; ;6; ;6;6;1;1;6;1;1;1;1;6;6;1;6;6;1;6;1;1;1;1;6;3;94;3;0
74;7;1;2025;0;1;2;3;5;1;5;4;4;6;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;7000000; ;1;3500000;1;1;1;1;6;1;1;1;1;6;6;1;6;1;1;6;1;1;6;1;6;2;142;3;0
74;13;1;2025;0;1;2;5;7;1;7;5;4;6;1;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;2500000; ; ;6; ;1;1;1;1;6;1;1;1;1;1;6;1;6;1;1;6;1;1;1;6;6;2;129;3;0
74;31;1;2025;0;1;1;1;2;1;1;1;4;5;6;1;1;2;11;7;1;6;1;1;1;6;4;2;4; ;700000; ; ;6; ;6;6;1;1;6;1;1;1;6;1;6;6;6;6;6;6;1;6;1;6;1;2;115;3;0
74;42;1;2025;0;1;0;2;2;1;2;1;4;5;6;1;6;2;11;7;1;6;1;1;1;1;2;2;1;1; ;1800000; ;1;450000;6;6;1;1;6;1;1;1;1;6;6;1;6;1;1;6;1;1;1;6;6;3;122;3;0
74;57;1;2025;0;1;1;1;2;2;4;2;4;5;6;1;1;2;11;7;1;6;1;1;1;1;2;2;6; ; ;1800000; ;6; ;6;6;1;1;6;1;1;1;1;1;6;1;6;1;1;6;1;1;1;1;6;2;112;3;0
74;58;1;2025;0;1;3;1;4;2;3;2;4;5;6;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;3000000; ;1;99999999999;1;6;1;1;6;1;1;1;1;1;6;1;6;1;1;6;1;1;1;1;6;2;110;3;0
89;13;1;2025;0;1;2;2;4;1;5;3;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;6; ; ;99999999999;99999999999;1;99999999999;6;6;1;1;6;1;1;1;1;1;6;1;6;6;1;6;6;1;1;6;6;4;50;3;0
89;15;1;2025;0;1;0;1;1;3;1;1;4;5;1;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;800000; ; ;6; ;6;6;1;6;1;6;1;1;1;1;6;1;6;6;1;6;6;6;6;6;6;1;58;3;0
89;23;1;2025;0;1;2;2;4;1;5;3;4;5;4;1;1;2;11;7;1;6;1;1;1;1;4;2;6; ; ;3000000; ;1;370000;1;6;1;1;6;1;6;1;1;6;6;1;6;1;1;6;6;6;1;1;6;2;72;3;0
89;26;1;2025;0;1;4;4;8;1;5;3;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;3000000; ;6; ;6;6;1;1;6;6;1;1;1;1;6;1;6;6;1;6;1;1;1;1;6;4;54;3;0
